id;infinitive;time;mood;person;quantity;conjugation
536;prendre;imperfet;indicatiu;2;singular;prenies
537;prendre;imperfet;indicatiu;3;singular;prenia
538;prendre;imperfet;indicatiu;1;plural;preníem
539;prendre;imperfet;indicatiu;2;plural;preníeu
540;prendre;imperfet;indicatiu;3;plural;prenien
541;prendre;imperfet;subjuntiu;1;singular;prengués
542;prendre;imperfet;subjuntiu;2;singular;prenguessis
543;prendre;imperfet;subjuntiu;3;singular;prengués
544;prendre;imperfet;subjuntiu;1;plural;prenguéssim
545;prendre;imperfet;subjuntiu;2;plural;prenguéssiu
546;prendre;imperfet;subjuntiu;3;plural;prenguessin
547;prendre;futur;indicatiu;1;singular;prendré
548;prendre;futur;indicatiu;2;singular;prendràs
549;prendre;futur;indicatiu;3;singular;prendrà
550;prendre;futur;indicatiu;1;plural;prendrem
551;prendre;futur;indicatiu;2;plural;prendreu
552;prendre;futur;indicatiu;3;plural;prendran
553;prendre;condicional;indicatiu;1;singular;prendria
554;prendre;condicional;indicatiu;2;singular;prendries
555;prendre;condicional;indicatiu;3;singular;prendria
556;prendre;condicional;indicatiu;1;plural;prendríem
557;prendre;condicional;indicatiu;2;plural;prendríeu
558;prendre;condicional;indicatiu;3;plural;prendrien
559;prendre;participi;;;;pres
560;prendre;gerundi;;;;prenent
561;passar;present;indicatiu;1;singular;passo
562;passar;present;indicatiu;2;singular;passes
563;passar;present;indicatiu;3;singular;passa
564;passar;present;indicatiu;1;plural;passem
565;passar;present;indicatiu;2;plural;passeu
566;passar;present;indicatiu;3;plural;passen
567;passar;present;subjuntiu;1;singular;passi
568;passar;present;subjuntiu;2;singular;passis
569;passar;present;subjuntiu;3;singular;passi
570;passar;present;subjuntiu;1;plural;passem
571;passar;present;subjuntiu;2;plural;passeu
572;passar;present;subjuntiu;3;plural;passin
573;passar;present;imperatiu;2;singular;passa
574;passar;present;imperatiu;2;plural;passeu
575;passar;imperfet;indicatiu;1;singular;passava
576;passar;imperfet;indicatiu;2;singular;passaves
577;passar;imperfet;indicatiu;3;singular;passava
578;passar;imperfet;indicatiu;1;plural;passàvem
579;passar;imperfet;indicatiu;2;plural;passàveu
580;passar;imperfet;indicatiu;3;plural;passaven
581;passar;imperfet;subjuntiu;1;singular;passés
582;passar;imperfet;subjuntiu;2;singular;passessis
583;passar;imperfet;subjuntiu;3;singular;passés
